Family,Genus,Subgenus,Species,Author,Date,Parentheses (1=author & date in parentheses),Citation,Pages,Common Name,Column1
Emballonuridae,Saccolaimus,,mixtus,Troughton,1925,0,Rec. Aust. Mus.,0.806944444,Troughton's Pouched Bat,
Emballonuridae,Saccolaimus,,saccolaimus,Temminck,1838,1,Tijdschr. Nat. Gesch. Physiol.,5:14,Naked-rumped Pouched Bat,
Vespertilionidae,Scoteanax,,rueppellii,Peters,1866,1,Monatsb. K. Preuss. Akad. Wiss. Berlin,1866:21:00,R&uuml;ppell's Broad-nosed Bat,
Vespertilionidae,Scotorepens,,balstoni,Thomas,1906,1,Abstr. Proc. Zool. Soc. Lond.,1906(31): 2,Western Broad-nosed Bat,
Vespertilionidae,Scotorepens,,greyii,Gray,1842,1,"Zool. Voy. H.M.S. ""Erebus"" and ""Terror,""",pl. 20,Little Broad-nosed Bat,
Vespertilionidae,Scotorepens,,orion,Troughton,1937,1,Aust. Zool.,0.479861111,Orion Broad-nosed Bat,
Vespertilionidae,Scotorepens,,sanborni,Troughton,1937,1,Aust. Zool.,0.527777778,Northern Broad-nosed Bat,
Molossidae,Setirostris,,eleryi,Reardon & McKenzie,2008,1,Zootaxa,"1875: 1, 13",Bristle-faced Free-tailed Bat,
Pteropodidae,Syconycteris,,australis,Peters,1867,1,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 13 [footnote],Southern Blossom Bat,
Emballonuridae,Taphozous,,australis,Gould,1854,0,Mamm. Aust.,III: plate 32,Coastal Tomb Bat,
Emballonuridae,Taphozous,,georgianus,Thomas,1915,0,J. Bombay Nat. Hist. Soc.,24: 62,Sharp-nosed Tomb Bat,
Emballonuridae,Taphozous,,hilli,Kitchener,1980,0,Rec. W. Aust. Mus.,0.445833333,Hill's Tomb Bat,
Emballonuridae,Taphozous,,kapalgensis,McKean & Friend,1979,0,Vict. Nat.,96: 239,Arnhem Tomb Bat,
Emballonuridae,Taphozous,,troughtoni,Tate,1952,0,Bull. Am. Mus. Nat. Hist.,98: 607,Troughton's Tomb Bat,
Vespertilionidae,Vespadelus,,baverstocki,"Kitchener, Jones & Caputi",1987,1,Rec. West. Aust. Mus.,0.875694444,Baverstock's Forest Bat,
Vespertilionidae,Vespadelus,,caurinus,Thomas,1914,1,Ann. Mag. Nat. Hist.,"ser. 8, 13: 439",Western Cave Bat,
Vespertilionidae,Vespadelus,,darlingtoni,G. M. Allen,1933,1,J. Mammal.,0.6875,Large Forest Bat,
Vespertilionidae,Vespadelus,,douglasorum,Kitchener,1976,1,Rec. West. Aust. Mus.,"4: 295, 296",Yellow-lipped Bat,
Vespertilionidae,Vespadelus,,finlaysoni,"Kitchener, Jones & Caputi",1987,1,"Rec. West, Aust. Mus.",0.858333333,Finlayson's Forest Bat,
Vespertilionidae,Vespadelus,,pumilus,Gray,1841,1,Appendix C in J. Two Exped. Austr.,0.365277778,Eastern Forest Bat,
Vespertilionidae,Vespadelus,,regulus,Thomas,1906,1,Proc. Zool. Soc. Lond.,"1906: 470, 471",Southern Forest Bat,
Vespertilionidae,Vespadelus,,troughtoni,"Kitchener, Jones & Caputi",1987,1,Rec. West. Aust. Mus.,0.865972222,Troughton's Forest Bat,
Vespertilionidae,Vespadelus,,vulturnus,Thomas,1914,1,Ann. Mag. Nat. Hist.,"ser. 8, 13: 440",Little Forest Bat,
